annual_income,loan_amount,credit_score,existing_debts,loan_duration,approved
74901.42459033697,29645.158085383347,684.8286247666819,0.0,48,1
55852.07096486446,40835.01610839041,678.3323592535667,4175.215295946922,36,1
79430.65614302078,32078.568168645714,556.3480154194509,11194.57390561121,84,0
105690.89569224077,53312.541408383586,707.9584221763738,22245.03366387037,48,1
52975.39875829992,85915.35594385739,500.99173244233816,35362.43489910317,48,0
52975.89129152458,26868.73528576386,584.5815674239672,30412.039150576464,60,0
107376.38446522175,80024.61493305242,450.0912187102192,2310.128023287718,60,0
83023.04187458726,26549.837829593373,805.8626516962814,14424.316067515214,120,1
45915.768421951434,24571.183625093472,626.8450506054704,21145.6338305385,120,0
76276.80130757893,74557.8385502964,850.0,16066.893133302508,84,1
46097.46921562613,77658.09134022851,730.2949926519495,15960.571611975585,48,1
46028.10739289229,75542.29810287963,694.8098213351025,0.0,12,1
67258.86814698103,10526.077753455764,591.3772305719001,2708.9877329053925,84,0
20000.0,36021.47065783848,545.364996431258,13955.902262910902,48,0
20000.0,74689.65776009964,702.2971573896946,0.0,24,0
43131.37412277082,51246.25521691684,642.8485990727017,29609.664800147817,84,0
29615.066389967287,17789.214614076074,516.0729684514699,0.0,120,0
69427.41997785821,63749.538173763256,498.3141583491681,30302.571998977066,24,0
32759.277734363674,28555.782230255885,554.1296270856416,28983.74006706365,24,0
20000.0,103835.74545176636,832.0967225266231,11844.604353314237,24,1
103969.46306764662,96345.24387254776,850.0,35008.224885523065,36,1
53226.71098540393,68122.92279066701,670.498914730891,31147.960173873995,120,0
62025.84614063772,90830.2011430932,664.8942796241288,15365.577937480391,12,1
20000.0,51943.74050370143,616.3679628170479,13673.605772124523,36,0
43668.51826424452,72963.12483125048,556.5514651690498,36458.49178496535,36,0
63327.67769129598,94331.60885906225,787.5179057607244,23480.207591114962,24,1
25470.192677330917,57364.96045382938,837.3576393897135,35670.457525522135,12,0
71270.94055037016,42344.384854571486,560.6580914160714,0.0,120,0
41980.83930243585,5000.0,641.7161621575399,21477.276455291933,12,0
51249.1875062017,47505.99422835518,605.0133699289833,0.0,48,0
41948.80163311809,74702.69553686935,607.9760925135023,19613.172387698552,84,0
115568.34553526813,78369.00282702889,768.5908255429862,30707.303125188257,36,1
59595.08325786198,65130.95197155229,518.8038454633878,46087.102186236545,84,0
28268.67213132299,33761.0271511328,696.6469690936307,5927.49907344221,84,1
84676.34736309567,5000.0,722.8238107305865,12114.427920470256,12,1
23374.690500869336,35143.54705985795,635.7848826398181,18567.006393866937,120,0
66265.90785014266,40869.65386838146,739.3067826986772,5382.033478071642,60,1
20000.0,40612.130984299576,664.765184053745,34678.39593183886,84,0
20154.418533047086,68556.69070933774,771.7129921156112,18948.581819515646,36,0
65905.8370760737,109570.2923304452,497.77946950741455,21829.35535064069,84,0
82153.99739986232,53705.87605523279,615.122473899313,29302.596901612378,12,0
65141.048435699115,43498.04632530615,642.8186857148966,18924.327254368858,60,0
56530.551528352786,42223.34560987722,382.7792615528651,7736.913077362022,84,0
50966.88913232133,53731.54300723143,541.4047266421466,19054.696425522994,60,0
20000.0,25151.187189548033,568.6400745641214,7157.279607299162,60,0
